,LSF_ID,Province,District,number,Plot_area,Cropping_System,Crops_In_Plot,crop_name,crop area (m2),number trees, trees susceptible six months,Sowing date,harvesting data,seeds type,quantity seeds sown unity,quantity seeds sown,qualitiy of seeds purchased,Amount purchased,quanitiy improved seeds unity,quanitiy improved seeds ,quanitiy improved seeds purchased,improved seeds price,improved seeds origin,quanitiy harvested (kg),remaining harvested,total harvested,Production Status,Produce sold,farm gate price of crop,crop_group
364,51017.0,East,Rwamagana,10.0,29553.035,Pure,1.0,Pea,11082.388,,,Between 01-15/10,Between 01-28/02,Traditional seeds,Kg,50.0,0.0,,,,,,,40.0,0.0,40.0,Insufficient rainfall,No,,Pea
365,51018.0,East,Rwamagana,1.0,746365.7,Pure,1.0,Paddy rice,746365.7,,,Between 01-15/10,between 01-15/01,Improved seeds,,,,,Kg,1605.0,0.0,0.0,Other (Specify),183763.0,0.0,183763.0,Drought,Yes,285.0,Paddy rice
366,51019.0,East,Rwamagana,1.0,1096293.6,Pure,1.0,Paddy rice,1096293.6,,,Between 01-15/10,between 16- 31/01,Improved seeds,,,,,Kg,3297.0,3297.0,989100.0,Recognized seed multipliers/NGO,370000.0,0.0,370000.0,Insufficient rainfall,Yes,285.0,Paddy rice
367,51020.0,East,Rwamagana,1.0,537212.56,Pure,1.0,Paddy rice,537212.56,,,Between 16-31/10,between 16- 31/01,Improved seeds,,,,,Kg,1590.0,1590.0,477000.0,Recognized seed multipliers/NGO,204000.0,0.0,204000.0,Insufficient rainfall,Yes,290.0,Paddy rice
368,52001.0,East,Nyagatare,2.0,223185.14,Pure,1.0,Sorghum,223185.14,,,Between 16-30/09,between 16- 31/01,Traditional seeds,Kg,379.5,379.5,113850.0,,,,,,0.0,49104.0,49104.0,Good harvest as it was expected,No,,Sorghum
369,52001.0,East,Nyagatare,4.0,10274.671,Pure,1.0,Sorghum,10274.671,,,Between 16-30/09,between 16- 31/01,Traditional seeds,Kg,17.0,17.0,5100.0,,,,,,0.0,2266.0,2266.0,Good harvest as it was expected,No,,Sorghum
370,52001.0,East,Nyagatare,5.0,18896.955,Pure,1.0,Sorghum,18896.955,,,Between 16-30/09,between 16- 31/01,Traditional seeds,Kg,32.0,32.0,9600.0,,,,,,0.0,4158.0,4158.0,Good harvest as it was expected,No,,Sorghum
371,52002.0,East,Nyagatare,2.0,43447.07,Pure,1.0,Maize,43447.07,,,Between 16-30/09,between 16- 31/01,Improved seeds,,,,,Kg,135.0,135.0,60697.0,RAB/NAEB/SECTOR,7493.5,14987.0,22480.5,Heavy rainfall,No,,Maize
372,52002.0,East,Nyagatare,4.0,17800.123,Pure,1.0,Maize,17800.123,,,Between 16-30/09,Between 01-28/02,Improved seeds,,,,,Kg,55.0,55.0,24837.0,RAB/NAEB/SECTOR,3066.0,6132.0,9198.0,Other reason(Specify),No,,Maize
373,52002.0,East,Nyagatare,6.0,17097.514,Pure,1.0,Maize,17097.514,,,Between 16-30/09,Between 01-28/02,Improved seeds,,,,,Kg,53.0,53.0,23860.0,RAB/NAEB/SECTOR,2945.0,5891.0,8836.0,Other reason(Specify),No,,Maize
