,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,inorganic fertilizer type,inorganic fertilizer used (kg),source inorganic fertilizer
144,13004.0,Kigali,Kicukiro,3.0,1012.68374252,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
145,13004.0,Kigali,Kicukiro,3.0,1012.68374252,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
146,13005.0,Kigali,Kicukiro,4.0,38933.5239493,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
147,13005.0,Kigali,Kicukiro,7.0,2718.8629596,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
148,13005.0,Kigali,Kicukiro,9.0,2742.08584101,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
149,13005.0,Kigali,Kicukiro,13.0,24427.5895716,1,8000.0,1,Urea,78000.0,Market
150,13005.0,Kigali,Kicukiro,13.0,24427.5895716,1,8000.0,1,DAP,48000.0,Market
151,13005.0,Kigali,Kicukiro,14.0,2816.81561402,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
152,13005.0,Kigali,Kicukiro,14.0,2816.81561402,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
153,13005.0,Kigali,Kicukiro,14.0,2816.81561402,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
154,13006.0,Kigali,Kicukiro,12.0,139779.642634,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
155,13006.0,Kigali,Kicukiro,13.0,71271.0503743,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
156,13006.0,Kigali,Kicukiro,15.0,48095.752529,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
157,13006.0,Kigali,Kicukiro,20.0,10325.4320052,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
158,13006.0,Kigali,Kicukiro,22.0,1015.63612667,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
159,21001.0,South,Nyanza,1.0,63906.1553481,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
160,21001.0,South,Nyanza,1.0,63906.1553481,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
161,21001.0,South,Nyanza,1.0,63906.1553481,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
162,21001.0,South,Nyanza,4.0,19159.9278704,1,1000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
163,21001.0,South,Nyanza,4.0,19159.9278704,1,1000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
164,21001.0,South,Nyanza,4.0,19159.9278704,1,1000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
165,21001.0,South,Nyanza,5.0,6067.06113484,1,600.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
166,21001.0,South,Nyanza,5.0,6067.06113484,1,600.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
167,21001.0,South,Nyanza,5.0,6067.06113484,1,600.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
168,21001.0,South,Nyanza,6.0,3635.57900338,1,350.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
169,21001.0,South,Nyanza,6.0,3635.57900338,1,350.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
170,21001.0,South,Nyanza,6.0,3635.57900338,1,350.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
171,21001.0,South,Nyanza,7.0,11894.6783669,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
172,21001.0,South,Nyanza,8.0,2138.99935877,1,2000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
173,21001.0,South,Nyanza,8.0,2138.99935877,1,2000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
174,21001.0,South,Nyanza,8.0,2138.99935877,1,2000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
175,21001.0,South,Nyanza,9.0,5894.55762543,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
176,21001.0,South,Nyanza,9.0,5894.55762543,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
177,21001.0,South,Nyanza,9.0,5894.55762543,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
178,21001.0,South,Nyanza,10.0,8119.79377608,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
179,21001.0,South,Nyanza,11.0,24556.6020223,0,0.0,1,NPK 17-17-17,373.0,Government(MINAGRI/RAB/NAEB/District
180,21001.0,South,Nyanza,12.0,7444.52194894,1,750.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
