,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,crop_name,DAP,N/Ainorganic fertilizer type,NPK 17-17-17,Urea,Lliquid urea,Other inorganic fertilizer (to specify),NPK 20-10-10,KCL/MOP,NPK 25-5-5
349177,24008.0,South,Huye,1.0,1243641.75,1,16470.0,1,Paddy rice,0.0,0.0,23540.0,11770.0,0.0,23540.0,0.0,0.0,0.0
352057,24010.0,South,Huye,1.0,407908.59375,0,0.0,1,Paddy rice,0.0,0.0,5785.0,0.0,0.0,0.0,0.0,0.0,0.0
354937,24011.0,South,Huye,1.0,534606.5,0,0.0,1,Paddy rice,0.0,0.0,7200.0,3600.0,0.0,0.0,0.0,0.0,0.0
357817,24012.0,South,Huye,1.0,743445.125,0,0.0,1,Paddy rice,0.0,0.0,4590.4,2295.2,0.0,0.0,0.0,0.0,0.0
360697,24013.0,South,Huye,1.0,461095.03125,0,0.0,1,Paddy rice,0.0,0.0,5000.0,2500.0,0.0,0.0,0.0,0.0,0.0
363577,24014.0,South,Huye,2.0,403626.0,1,3772.0,1,Paddy rice,0.0,0.0,1762.0,881.0,0.0,0.0,0.0,0.0,0.0
366457,24015.0,South,Huye,1.0,521955.0625,0,0.0,1,Paddy rice,0.0,0.0,3728.0,5095.0,0.0,0.0,0.0,0.0,0.0
369336,24016.0,South,Huye,1.0,628220.5,1,229071.0,1,Maize,3660.0,0.0,0.0,12879.0,0.0,0.0,0.0,0.0,0.0
372245,25001.0,South,Nyamagabe,3.0,199708.303531,1,600000.0,1,Irish potato,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
375120,25001.0,South,Nyamagabe,6.0,16339.4470874,1,9000.0,1,Maize,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378000,25001.0,South,Nyamagabe,7.0,37796.7771759,1,180000.0,1,Maize,400.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
380885,25001.0,South,Nyamagabe,8.0,24259.8652677,1,6000.0,1,Irish potato,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
392443,26001.0,South,Ruhango,9.0,2568.03278124,1,4000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
398203,26001.0,South,Ruhango,15.0,1222.87017702,1,4000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
403960,26001.0,South,Ruhango,19.0,12140.0567417,1,32000.0,1,Cassava,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
409705,26002.0,South,Ruhango,1.0,878113.625,0,0.0,1,Paddy rice,810.0,0.0,8938.0,3519.0,0.0,0.0,0.0,0.0,0.0
412585,26003.0,South,Ruhango,1.0,551080.25,0,0.0,1,Paddy rice,0.0,0.0,1989.0,2823.0,0.0,0.0,0.0,950.5,0.0
415465,26005.0,South,Ruhango,1.0,3904869.0,0,0.0,1,Paddy rice,28897.0,0.0,78100.0,39050.0,0.0,0.0,0.0,0.0,0.0
418345,26006.0,South,Ruhango,1.0,384504.158563,0,0.0,1,Paddy rice,0.0,0.0,100.0,230.0,0.0,0.0,0.0,0.0,0.0
421225,26010.0,South,Ruhango,1.0,703504.625,0,0.0,1,Paddy rice,0.0,0.0,3300.0,1650.0,0.0,0.0,0.0,0.0,0.0
424128,27001.0,South,Muhanga,2.0,319693.625,1,182000.0,1,Maize,5200.0,0.0,0.0,3913.0,0.0,0.0,0.0,0.0,0.0
427009,27001.0,South,Muhanga,6.0,779080.375,1,39150.0,1,Paddy rice,1750.0,0.0,3600.0,850.0,0.0,0.0,0.0,0.0,0.0
429889,27002.0,South,Muhanga,1.0,606744.5,1,30000.0,1,Paddy rice,0.0,0.0,6000.0,3000.0,0.0,0.0,0.0,0.0,0.0
432768,27002.0,South,Muhanga,4.0,132226.34375,1,63000.0,1,Maize,1000.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
435648,27003.0,South,Muhanga,1.0,2041793.625,1,1229640.0,1,Maize,15402.0,0.0,0.0,7248.0,0.0,68.0,0.0,0.0,0.0
438552,28001.0,South,Kamonyi,1.0,594811.903401,1,393600.0,1,Maize,984.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0
441432,28001.0,South,Kamonyi,2.0,100202.952997,1,1936000.0,1,Maize,4840.0,0.0,0.0,2420.0,0.0,0.0,0.0,0.0,0.0
444313,28002.0,South,Kamonyi,1.0,828034.25,0,0.0,1,Paddy rice,0.0,0.0,9000.0,4500.0,0.0,0.0,0.0,0.0,0.0
447193,28003.0,South,Kamonyi,1.0,1089728.0,0,0.0,1,Paddy rice,0.0,0.0,21214.0,10607.0,0.0,0.0,0.0,0.0,0.0
450072,28004.0,South,Kamonyi,1.0,767470.4375,1,30000.0,1,Maize,8700.0,0.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0
465101,33002.0,West,Rubavu,1.0,137215.911575,1,104000.0,1,Irish potato,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
467981,33003.0,West,Rubavu,3.0,258674.709746,1,4400.0,1,Irish potato,0.0,0.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0
476640,36001.0,West,Rusizi,3.0,11713.2099934,1,18000.0,1,Maize,150.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0
482401,36002.0,West,Rusizi,1.0,2940973.75,1,8910.0,1,Paddy rice,0.0,0.0,41950.0,59000.0,0.0,0.0,0.0,0.0,0.0
485281,36003.0,West,Rusizi,3.0,4006912.25,0,0.0,1,Paddy rice,0.0,0.0,76201.0,38100.5,0.0,0.0,0.0,0.0,0.0
488161,36004.0,West,Rusizi,1.0,2595341.6436,0,0.0,1,Paddy rice,0.0,0.0,53256.0,26628.0,0.0,0.0,0.0,0.0,0.0
491041,36005.0,West,Rusizi,1.0,4492769.0,0,0.0,1,Paddy rice,0.0,0.0,87820.0,43910.0,0.0,0.0,0.0,0.0,0.0
493940,36006.0,West,Rusizi,1.0,1510493.41133,0,0.0,1,Other perennial  crop,0.0,0.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0
496801,36007.0,West,Rusizi,1.0,529353.9375,0,0.0,1,Paddy rice,0.0,0.0,10984.0,5492.0,0.0,0.0,0.0,0.0,0.0
499723,37001.0,West,Nyamasheke,1.0,70406.2611592,1,18000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
502603,37001.0,West,Nyamasheke,2.0,124758.755685,1,42000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0
505483,37001.0,West,Nyamasheke,3.0,21366.7579748,1,9000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,567.0,0.0,0.0,0.0
508363,37001.0,West,Nyamasheke,4.0,98963.2153535,1,42000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,2623.0,0.0,0.0,0.0
511243,37001.0,West,Nyamasheke,5.0,19965.6492293,1,9000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0
514105,37002.0,West,Nyamasheke,1.0,421615.65625,0,0.0,1,Paddy rice,0.0,0.0,4000.0,2000.0,0.0,0.0,0.0,0.0,0.0
516985,37004.0,West,Nyamasheke,1.0,1242254.0,1,240000.0,1,Paddy rice,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
519865,37006.0,West,Nyamasheke,1.0,395529.0,0,0.0,1,Paddy rice,0.0,0.0,8426.0,4213.0,0.0,0.0,0.0,0.0,0.0
534883,41003.0,North,Rulindo,1.0,32528.2267153,1,6480.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3240.0
537763,41003.0,North,Rulindo,3.0,18968.7160493,1,3760.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880.0
540628,41004.0,North,Rulindo,1.0,46932.5103663,0,0.0,1,Climbing bean,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
543507,41004.0,North,Rulindo,2.0,3854.06200037,0,0.0,1,Bush bean,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
546384,41004.0,North,Rulindo,3.0,32679.5638801,0,0.0,1,Maize,0.0,0.0,300.0,150.0,0.0,0.0,0.0,0.0,0.0
549269,41004.0,North,Rulindo,4.0,75437.2082936,1,50000.0,1,Irish potato,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
552146,41004.0,North,Rulindo,5.0,38273.932078,0,0.0,1,Wheat,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
555031,41004.0,North,Rulindo,6.0,3586.89802451,1,4000.0,1,Cabbage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
557916,41004.0,North,Rulindo,7.0,694.183771811,1,2000.0,1,Sugar beet,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
560813,43001.0,North,Musanze,13.0,2425.78856755,1,600.0,1,Irish potato,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
563714,45001.0,North,Gicumbi,1.0,91445.3102476,1,8540.0,1,Wheat,700.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0
566597,45001.0,North,Gicumbi,2.0,19719.8321601,1,1840.0,1,Irish potato,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
569477,45001.0,North,Gicumbi,3.0,15532.1701653,1,1446.0,1,Irish potato,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0
572352,45001.0,North,Gicumbi,4.0,101384.409518,1,10000.0,1,Maize,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0
575232,45001.0,North,Gicumbi,9.0,10016.7452878,1,1000.0,1,Maize,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
578117,45001.0,North,Gicumbi,10.0,19038.3415719,1,1773.0,1,Irish potato,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
581568,45002.0,East,Gicumbi,7.0,264275.9375,0,0.0,1,Maize,1321.0,0.0,0.0,600.0,0.0,20.0,0.0,0.0,0.0
613272,51004.0,East,Rwamagana,2.0,14848.2003067,0,0.0,1,Maize,100.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
616152,51004.0,East,Rwamagana,3.0,55376.729762,0,0.0,1,Maize,554.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0
619053,51004.0,East,Rwamagana,9.0,16016.8126037,1,360.0,1,Macadamia,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,0.0,0.0
624798,51005.0,East,Rwamagana,3.0,5092.42959948,1,500.0,1,Tomato,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0
639197,51005.0,East,Rwamagana,11.0,8231.19311893,1,500.0,1,Irish potato,0.0,0.0,10600.0,0.0,0.0,0.0,0.0,0.0,0.0
642072,51005.0,East,Rwamagana,14.0,12617.5481427,1,1000.0,1,Maize,0.0,0.0,0.0,7100.0,0.0,0.0,0.0,0.0,0.0
644957,51005.0,East,Rwamagana,16.0,4765.5203311,1,500.0,1,Irish potato,0.0,0.0,10600.0,0.0,0.0,0.0,0.0,0.0,0.0
647832,51005.0,East,Rwamagana,17.0,4620.62149184,1,100.0,1,Maize,0.0,0.0,0.0,2485.0,0.0,0.0,0.0,0.0,0.0
650712,51005.0,East,Rwamagana,21.0,6202.04882164,1,300.0,1,Maize,0.0,0.0,0.0,2130.0,0.0,0.0,0.0,0.0,0.0
653603,51005.0,East,Rwamagana,22.0,1237.68869249,0,0.0,1,Sweet pepper,0.0,0.0,2080.0,0.0,0.0,0.0,0.0,0.0,0.0
656490,51006.0,East,Rwamagana,5.0,32478.7998109,1,600.0,1,Passion fruit,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0
676632,51009.0,East,Rwamagana,1.0,124038.14877,0,0.0,1,Maize,3077.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
679512,51009.0,East,Rwamagana,2.0,802158.511675,0,0.0,1,Maize,8923.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0
705432,51016.0,East,Rwamagana,2.0,29311.2737106,0,0.0,1,Maize,220.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0
708312,51016.0,East,Rwamagana,3.0,9014.61022991,0,0.0,1,Maize,70.0,0.0,0.0,39760.0,0.0,0.0,0.0,0.0,0.0
711192,51016.0,East,Rwamagana,4.0,11925.8105398,0,0.0,1,Maize,90.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0
